Category ID;Active (0/1);Name *;Parent category;Root category (0/1);Description;Meta title;Meta keywords;Meta description;URL rewritten;Image URL
3;1;Мебельные ручки;Home;0;"<div class=""bd-category-info__text"">
                    <p>Мебель окружает в любом жилом пространстве. Она обеспечивает создание комфортных и уютных условий. Несмотря на то, что на данный момент представлен широкий выбор мебельной фурнитуры, у них есть общее – мебельные ручки.</p>

<p>На современном рынке представлен широкий выбор мебельных аксессуаров, которые могут использоваться в различных целях. Как правило, они отличаются размерами, формой, стилем оформления и другими моментами. Например, при выборе ручек для мебели, которая используется на кухне, лучше отдать свое предпочтение приспособлениям, способным обеспечить простоту и комфорт при их использовании.</p>

<p>Мебельные ручки необходимо выбирать, учитывая все дизайнерские и стилевые особенности помещения, куда они будут устанавливаться. При выборе какой-то определенной модели многие сталкиваются с трудностями. Это обуславливается тем, что на данный момент на рынке представлен широкий ассортимент продукции подобного характера. Все модели имеют свои отличительные особенности, они отличаются своей функциональностью. При выборе ручек для мебели необходимо обращать внимание на их форму, стиль исполнения, материал, который использовался при их производстве. Практика показывает, что даже мелкие детали должны подбираться таким образом, чтобы гармонично вписываться под стиль и дизайн помещения.</p>

<p>На сайте представлен широкий ассортимент мебельных ручек. Каждый желающий сможет определиться с выбором, исходя из своих вкусовых предпочтений и финансовых возможностей.</p>
                </div>";;;;mebelnye-ruchki;
4;1;Мебельные крючки;Home;0;"<div class=""bd-category-info__text"">
                    <p>Металлические мебельные ручки и крючки — это одна из наиболее крупных товарных групп во всей линейке BOYARD. В своей продукции мы постарались отразить все достижения современного рынка материалов, передовые технологии обработки и чувство стиля. Сегодня, приглашая вас купить мебельную фурнитуру BOYARD, мы можем сказать, что предлагаем лучшие наши решения, привлекающие внимание, создающие индивидуальный стиль и особенное настроение.</p>

<p>Отдельного внимания заслуживают представленные в нашем каталоге крючки для мебели — в мебели для прихожей комнаты, для ванной, для спальни или мебели в другом помещении они окажутся весьма уместными. Мебельные крючки имеют интересный дизайн, который будет актуален в любом интерьере и останется привлекательным на протяжении длительного времени.</p>

<p>Определенным достижением нашей компании стало то, что несмотря на высочайшее качество продукции, дающее нам возможность конкурировать с изделиями зарубежных марок, мы смогли сохранить доступные цены и обеспечили при этом отличный сервис по обслуживанию клиентов. Приглашаем и вас занять достойное место в числе наших покупателей!</p>
                </div>";;;;mebelnye-krjuchki;
5;1;Мебельные опоры;Home;0;"<div class=""bd-category-info__text"">
                    <p>Требуется купить опоры для мебели, и вы ищете компанию, в которой будут гарантированы высокое качество этой фурнитуры, ее долговечность и ценовая доступность? Вы нашли такую компанию: это – BOYARD!</p>

<p>Мы предлагаем купить мебельные опоры, которые отличаются достойными характеристиками:</p>
<ul>
<li>прочностью, способностью без проблем выдержать даже очень значительный – достигающий 100 кг – вес мебели;</li>
<li>устойчивостью к влаге и другим внешним воздействиям, которым мебельные опоры могут подвергаться при эксплуатации;</li>
<li>эстетичностью, внешней привлекательностью.</li>
</ul>
<h3>Наш ассортимент</h3>
<p>В компании BOYARD вы сможете выбрать и купить в Москве и других городах России и Беларуси мебельные опоры разных типов – нерегулируемые и регулируемые опорные стойки, поворотные колеса и другие. </p>

<p>Мы предлагаем опоры и мебельные колеса с покрытием разных цветов – в частности полированный и сатиновый хром, а также опоры в чёрном матовом исполнении. Кроме того, в ассортименте представлены модели, дополненные цветными вставками. Это позволяет подобрать опоры, соответствующие внешнему виду мебели и/или интерьера в целом.</p>

<p>На весь ассортимент мебельных опор нами установлены доступные цены. Приобрести продукцию можно в нашем интернет-магазине, а также в наших фирменных шоу-румах, и, наконец, в компаниях-партнерах, действующих на территории России, Беларуси и Казахстана. Приобретая фурнитуру кратно упаковке, вы можете рассчитывать на оптовые, то есть максимально выгодные, цены.</p>
                </div>";;;;mebelnye-opory;
6;1;Полкодержатели;Home;0;"<div class=""bd-category-info__text"">
                    <p>Вы ищете надежные, удобные, долговечные и красивые мебельные полкодержатели? Эти изделия в широком ассортименте представлены в интернет-магазине BOYARD.</p>
<h3>Основные виды</h3>
<p>Одними из наиболее распространенных остаются полкодержатели для ДСП цилиндрической формы. Они недорого стоят, легко устанавливаются и отличаются достаточной прочностью.</p>

<p>Обеспечить высокую надежность фиксации полок можно, установив держатели-«пеликаны». Площадь контакта будет больше, чем при использовании цилиндрических разновидностей, благодаря чему элементы мебели будут держаться прочнее. Кроме того, они отличаются более изящным внешним видом и имеют покрытия различных оттенков, что позволяет подобрать цвет, наиболее подходящий именно под ваш интерьер.</p>

<p>При работе со стеклом остановите выбор на полкодержателях для стеклянных полок. В них удачно сочетаются металл и пластик, а в некоторых разновидностях использованы вакуумные присоски из ПВХ. Применение таких держателей обеспечит высокую прочность фиксации стеклянных элементов и сделает мебель безопасной.</p>

<p>Существуют и другие типы держателей, которые можно приобрести у нас. Консультанты компании BOYARD охотно расскажут вам о них и помогут сделать выбор.</p>
                </div>";;;;polkoderzhateli;
7;1;Системы выдвижения;Home;0;"<div class=""bd-category-info__text"">
                    <p>Компания BOYARD предлагает современные системы выдвижения для ящиков, благодаря которым можно существенно расширить функциональные возможности мебели, сделав ее более удобной в использовании. Линейка решений компании включает направляющие для выдвижения ящиков нескольких видов:</p>

<ul>
<li>Классические, основанные на применении систем роликов и шариков, – это бюджетный вариант, практичный и эффективный.</li>
<li>Направляющие с металлическими боковинами MB.</li>
<li>Выдвижной механизм для деревянных ящиков – направляющие скрытого монтажа DB.</li>
<li>Системы выдвижения СТАРТ – современные технологичные механизмы с двойными металлическими боковинами, которые</li> обеспечивают комфортное, мягкое и плавное закрывание ящика. Механизм синхронизации гарантирует стабильный, равномерный ход, а полное выдвижение – простой доступ к содержимому ящика.
</ul>
<p>Мы также предлагаем современные и качественные системы более плавного закрытия (soft-closing) и открытия при нажатии (push-to-open). Они отлично подойдут для интересных дизайнерских решений без использования стандартных ручек для манипуляции ящиками.</p>
<p>Не менее важным будет и метод крепления фурнитуры. Например, насадной – то есть с фиксацией на цапфу, или же надвижной – с пластиковым фиксатором. </p>
<p>Общими свойствами мебельной фурнитуры для системы выдвижения BOYARD являются высокий уровень надежности, эффективность, современный дизайн, способность выдерживать значительные весовые нагрузки и долговечность. Заказать механизмы можно через интернет-магазин компании, либо обратившись в региональные филиалы или дилерские представительства BOYARD в России, Беларуси и Казахстане.</p>
                </div>";;;;sistemy-vydvizhenija;
8;1;Мебельные петли;Home;0;"<div class=""bd-category-info__text"">
                    <p>Компания BOYARD предлагает купить мебельные петли, совместимые с фасадами любых типов и материалов. Производственная линейка включает богатый ассортимент решений, среди которых можно подобрать как традиционные модели, так и купить современные петли для мебели с амортизацией и расширенными возможностями регулировки.</p>

<p>Спектр предложений BOYARD включает:</p>
<ul>
<li>Мебельные петли со стандартным диаметром чашки 35 мм – это наиболее распространенный вариант фурнитуры.</li>
<li>Мини-петли с диаметром чашки 26 мм – оптимальное решение, когда необходимо смонтировать небольшие фасады или узкие рамки.</li>
<li>Классические модели для фасадов из ДСП, МДФ и др. древесных материалов, а также для стеклянных и фасадов с алюминиевой рамкой.</li>
</ul>
<p>Преимущества предложений BOYARD:</p>
<ul>
<li>Мебельные петли для шкафов подходят для оснащения любых типов мебели, могут применяться для монтажа фасадов кухонь, крепления дверей в мебели для гостиной, прихожей.</li>
<li>Благодаря использованию тщательно отобранных материалов, качественному гальваническому покрытию петли BOYARD гарантированно надежно прослужат на протяжении многих лет.</li>
</ul>
<p>Лояльные цены на мебельные петли – купить фурнитуру можно оптом от 1 упаковки и в розницу от 1 единицы. Заявки принимаются через интернет-магазин BOYARD, также можете обратиться в филиалы компании или офисы партнеров, расположенные в разных городах России, Казахстана и Беларуси.</p>
                </div>";;;;mebelnye-petli;
9;1;Выдвижные корзины;Home;0;"<div class=""bd-category-info__text"">
                    <p>Компания BOYARD предлагает удобные и функциональные решения для всех видов мебели, позволяющие повысить ее эргономичность и достичь комфорта в использовании. Когда речь идет об изготовлении кухонной мебели, то здесь наряду с практичностью важную роль играет рациональное использование каждого сантиметра рабочей площади. И в этом отлично помогут выдвижные корзины и сушки для кухни марки BOYARD.</p>

<p>Выдвижные корзины для кухни позволяют ощутимо экономить свободное место и наиболее оптимально для каждой конкретной, персональной ситуации организовывать хранение необходимых вещей. Вы можете легко и недорого расширить полезный функционал даже самой маленькой кухни, просто добавив несколько простых и при этом рациональных решений — спрятав большую часть посуды и приправ, но оставив для себя легкий доступ к ним. Одни корзины для кухни можно, например, использовать строго для пищевых ингредиентов, а другие для детских бутылочек или же хранения алкоголя. Вы сами выбираете, как наиболее рационально и с пользой использовать имеющееся у вас свободное место.
</p>

<p>Большинство моделей в нашей коллекции отличаются высокой прочностью, хорошей сопротивляемостью коррозии за счет грамотно продуманной конструкции, а также использованных при их создании материалов и видов напыления. Все корзины движутся свободно, мягко, без рывков и приложения больших усилий с вашей стороны.</p>

<p>При выборе обращайте внимание на наличие съемных деталей и поддонов, которые можно без труда снимать для чистки. 
Все модели в нашей коллекции спроектированы таким образом, чтобы помешенные на них порошки, сосуды и предметы обихода были прочно закреплены и надежно защищены от падений и просыпания.
</p>
                </div>";;;;vydvizhnye-korziny;
10;1;Сушки для посуды;Home;0;"<div class=""bd-category-info__text"">
                    <p>Вы хотите сделать свою кухню более функциональной и при этом сохранить все ее эстетические плюсы? Чтобы довести ее до совершенства — вам обязательно понадобится практичная и стильная сушка для посуды из нашей коллекции.</p>
<p>В интернет-магазине BOYARD представлено множество интересных вариантов не только легко устанавливающиеся, но и гармонично вписывающиеся в самые различные направления дизайна.</p>
<p>Любая кухонная сушка для посуды, представленная в нашем каталоге, выгодно отличается легкостью — однако и разместить на ней можно большое количество предметов. Причем это могут быть тарелки совершенно разного размера, формата и дизайна — все они будут надежно закрепленными и не окажутся внизу в самый неподходящий момент. Многие из представленных моделей кухонных сушек также оснащены отдельной защитой (поперечным прутком), не дающей соскользнуть вниз даже крохотным блюдцам и гарантирующим бережное удержание всей посуды.</p>
<p>Для пользователей с небольшим опытом самостоятельного монтажа в нашей коллекции найдется далеко не одна сушка, которую вы без труда установите, просто следуя несложной и легко осуществимой инструкции. Каждая полка для сушки посуды в нашей линейке предложений имеет не только подробное описание характеристик, но и информацию об осуществлении особенностей правильного и надежного монтажа, если специфика модели требует отдельного пояснения.</p>
<p>Представленные в нашем каталоге варианты рассчитаны на длительный период эксплуатации и демонстрируют свою надежность в условиях постоянной активной деятельности на кухне.</p>
                </div>";;;;sushki-dlja-posudy;
11;1;Кухонные аксессуары;Home;0;"<div class=""bd-category-info__text"">
                    <p>Ищете сетчатое наполнение для кухни, сопутствующую фурнитуру, благодаря которой можно повысить функциональность мебели, сделать ее удобной, максимально практичной? Компания BOYARD предоставит Вам современные решения для оснащения кухонных гарнитуров, выполненные с соблюдением международных стандартов качества.</p>

<p>Среди преимуществ наших предложений:</p>
<ul>
<li>Разнообразие ассортимента – мебельная фурнитура для кухни представлена самыми необходимыми элементами внутреннего наполнения шкафов и ящиков: выдвижными корзинами и «волшебными уголками», бутылочничами, сушками для посуды, а также внешними навесными системами для рейлингов и барных стоек и прочим.</li>
<li>Гарантия качества продукции – фурнитура для мебели в кухне изготовлена из высококачественного сплава металлов, современного прочного пластика, нержавеющей стали. Это гарантирует, что изделия BOYARD на протяжении всего срока эксплуатации сохранят свою функциональность и первоначальный вид.</li>
<li>Практичность – мы приглашаем Вас купить фурнитуру для кухонной мебели, которая позволит рационально и удобно организовать места хранения и функциональные зоны, при этом будет задействована вся полезная площадь, включая труднодоступные угловые пространства.</li>
</ul>
<p>Приобрести кухонную фурнитуру можно, оформив заказ через интернет-магазин BOYARD или обратившись в наши филиалы и в офисы партнеров по всей России, в Беларуси и Казахстане.</p>
                </div>";;;;kuhonnye-aksessuary;
12;1;Газовые лифты;Home;0;"<div class=""bd-category-info__text"">
                    <p>Вы занимаетесь созданием или реставрацией мебели? Хотите вернуть полноценный функционал любимому предмету обстановки? Как раз для таких случаев мы предлагаем современные решения для поднятия мебельных фасадов — как в традиционном варианте, так и в ""секретном"". Получить нужный эффект всегда поможет качественный газлифт — это удобный подъёмный механизм, оснащенный цилиндром, заполненным инертным газом. Такое решение позволяет дать пружине наиболее плавный и мягкий ход без рывков и прочих недостатков других моделей. Это идеальный элемент для восстановления корпусной мебели, кроватей, диванов, кухонь и тому подобного. </p>

<h3>Как правильно выбрать мебельный газлифт</h3>

<p>При принятии решения в первую очередь обращайте внимание на:</p>

<ul>
<li>вес, который газлифт должен будет поднимать, а также на какую высоту;</li>
<li>какой угол поднятия будет наиболее оптимальным в вашей конкретной ситуации (на сто, девяносто или восемьдесят градусов и прочее)</li>
<li>при каких температурах модель пригодна к эксплуатации и перевозке;</li>
<li>какие петли рекомендуются к установке вместе с ним (антресольные, секретерные, мебельные или какие-то альтернативные варианты);</li>
<li>есть ли возможность самостоятельной регуляции демпфера;</li>
<li>как модель будет смотреться в общем ансамбле с остальными частями мебели.</li>
</ul>
<p>Правильно подобранный вариант позволит быстро вернуть полную функциональность вашей мебели и сделать это красиво и стильно. </p>
<p>Обратите внимание, что все газовые лифты для мебели поставляются вместе с подробными инструкциями, которые помогут разобраться в установке даже людям с небольшим практическим опытом в ремонте или создании мебели.</p>
                </div>";;;;gazovye-lifty;
