Product ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Delivery time of in-stock products;Delivery time of out-of-stock products with allowed orders;Quantity;Minimal quantity;Low stock level;Receive a low stock alert by email;Visibility;Additional shipping cost;Unity;Unit price;Summary;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Image alt texts (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock action;Virtual product;File URL;Number of allowed downloads;Expiration date;Number of days;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Acessories  (x,y,z...)
;;60126,001 Система Joker D25 для ДСП двухсторон,;Трубы и штангодержатели;667;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;<p>60126,001 Система Joker D25 для ДСП двухсторон,</p>;;;;;;;;;;;;https://artmebel.kz/upload/iblock/929/4o67gtgjgrzchvh7tnksnw8nga2ekrse/1fda67c4-a390-11e0-ae83-001517eeea50_af884602-a90f-11e0-9481-59cbc4472b12.jpeg;;;;;;;;;;;;;;;;;;;
;;01А.02.024 Заглушка D16 ;Трубы и штангодержатели;108;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""400"" alt=""12,02,024.jpg"" src=""/upload/medialibrary/7e1/7e15720626ba9822c458cec39b351054.jpg"" height=""139"" title=""12,02,024.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/f95/uchmr8y8id9d9s4hlx6vp0cjptqh4395/01b868fa-d32c-11e6-2395-001517eeea50_ac6c465a-0238-11e7-ce97-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;FZ2504  Соединение для труб +;Трубы и штангодержатели;438;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<p>FZ2504&nbsp;&nbsp;Соединение для труб +</p>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/da4/xhb10h4lnb4j2yfrbalhwzzssmtbpdgg.jpeg;;;;;;;;;;;;;;;;;;;
;;Заглушка вешала белый;Трубы и штангодержатели;34;;;;;;;;;;;Россия;;;;;;;;;;;;;;;;;;;"<br><br><img width=""400"" alt=""Заглушка вешала.jpg"" src=""/upload/medialibrary/e9c/e9cc99ed143a11eab742440c6d7c30be.jpg"" height=""282"" title=""Заглушка вешала.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/62e/5nqcgonx0awplnetest2ra5lcp88rlhj/e03fabf4-aea7-11e9-3e9d-001517eeea50_5828d1f4-f7bc-11e9-138d-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;FZ2501  Соединение для труб L-типа;Трубы и штангодержатели;280;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<p>FZ2501&nbsp;&nbsp;Соединение для труб L-типа</p>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/4a1/jienvz5p6ot418bja9gvd4uwre9ga5nx.jpeg;;;;;;;;;;;;;;;;;;;
;;12.02.024   Заглушка D16мм;Трубы и штангодержатели;134;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""400"" alt=""12,02,024.jpg"" src=""/upload/medialibrary/7e1/7e15720626ba9822c458cec39b351054.jpg"" height=""139"" title=""12,02,024.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/f25/4a7kaij4sgfi2zl2oqdlpm24qq6udbbo/437bc2e5-bcf9-11e6-6683-001517eeea50_5b742318-d14f-11ea-518d-000c29c4160b.jpeg;;;;;;;;;;;;;;;;;;;
;;Заглушка вешала серый;Трубы и штангодержатели;34;;;;;;;;;;;Россия;;;;;;;;;;;;;;;;;;;"<br><br><img width=""400"" alt=""Заглушка вешала.jpg"" src=""/upload/medialibrary/e9c/e9cc99ed143a11eab742440c6d7c30be.jpg"" height=""282"" title=""Заглушка вешала.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/b4e/qnl1z7c3rpy3m8wd1dgj61gj8fbgyk13/e03fabfd-aea7-11e9-3e9d-001517eeea50_5828d1f5-f7bc-11e9-138d-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;K-Y-467 Соединение для труб L-типа;Трубы и штангодержатели;307;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;<p>K-Y-467 Соединение для труб L-типа</p>;;;;;;;;;;;;https://artmebel.kz/upload/iblock/73b/mheff175fq3q1s0w3r3hf9s1er1mwm9r/58769259-ab66-11df-a5d5-00248c9ebc32_ea140769-f787-11df-a87b-00248c9ebc32.jpeg;;;;;;;;;;;;;;;;;;;
;;01А.02.082 Соединение для труб 25мм*25мм хром;Трубы и штангодержатели;741;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;<p>01А.02.082 Соединение для труб 25мм*25мм хром</p>;;;;;;;;;;;;https://artmebel.kz/upload/iblock/dc3/pxh9579mbskuecw85n2yyeoti3zpbbph/437bc2d0-bcf9-11e6-6683-001517eeea50_405cb5bc-f275-11e6-1395-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;01А.02.036 Заглушка D50 хром;Трубы и штангодержатели;788;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""214"" alt=""01,01,001 50.jpg"" src=""/upload/medialibrary/543/543822165a3b7bc70b1afe41b7c35884.jpg"" height=""144"" title=""01,01,001 50.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/ead/ead9271e49917cb2b5af3fc1cdd65c9e.png;;;;;;;;;;;;;;;;;;;
;;01А.02.080 Соединение для труб 25мм*25мм;Трубы и штангодержатели;843;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;<p>01А.02.080 Соединение для труб 25мм*25мм</p>;;;;;;;;;;;;https://artmebel.kz/upload/iblock/254/m1febfq8xsyrgnjpfhmi0i7qkg47vl09/429d2f87-ba9d-11e5-aa9d-001517eeea50_56c18249-d538-11e5-5183-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;12.02.027   Мебельное крепление D16мм;Трубы и штангодержатели;480;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""400"" alt=""24905.jpg"" src=""/upload/medialibrary/9bd/9bd6737e67b92fa960aa2f9301a3a4ca.jpg"" height=""613"" title=""24905.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/840/6dj9531sblgjoh6ix6ri9qyjz36oli1p.jpeg;;;;;;;;;;;;;;;;;;;
;;Вешало-крюк 1500 мм белый;Трубы и штангодержатели;3034;;;;;;;;;;;Россия;;;;;;;;;;;;;;;;;;;"<br><br><img width=""400"" alt=""Вешало-крюк.jpg"" src=""/upload/medialibrary/1c2/1c291fe339bbbfff83f531f07c963284.jpg"" height=""585"" title=""Вешало-крюк.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/376/y07z1x8y4f6p56v2e8z8a12b4tci4jj2/e03fac1c-aea7-11e9-3e9d-001517eeea50_5828d1ea-f7bc-11e9-138d-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;12.01.023  Угловой элемент D16мм;Трубы и штангодержатели;223;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""300"" alt=""12.01.023.jpg"" src=""/upload/medialibrary/73f/73f8f2e388592aa3a89d56527ec8e254.jpg"" height=""300"" title=""12.01.023.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/007/007a72c1aa0c41cad3a44a2748775806.png;;;;;;;;;;;;;;;;;;;
;;01А.01.054 Соединение для труб 25мм хром;Трубы и штангодержатели;88;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;<p>01А.01.054 Соединение для труб 25мм хром</p>;;;;;;;;;;;;https://artmebel.kz/upload/iblock/e19/2mvsf7mzd0tdlfy7z30jwyi1gippo6ke/e2fdc727-bc50-11e6-008f-001517eeea50_9ab5e0db-fe49-11e6-7897-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;60903,025 Заглушка для трубы D25 ;Трубы и штангодержатели;38;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""214"" alt=""01,01,001 25.jpg"" src=""/upload/medialibrary/524/524a368097839664fb938600e2c8bd30.jpg"" height=""144"" title=""01,01,001 25.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/025/g3vn5h6uplpsp7w45zdqcqg6kgyan232/93d1dd35-480d-11e1-d99e-6b5a3caa9544_90125479-351d-11e2-9e94-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;60901,001 Крепление для трубы D25 ;Трубы и штангодержатели;109;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""350"" alt=""60901.jpg"" src=""/upload/medialibrary/ebc/ebc15357ff104b1d09bc4694be997f46.jpg"" height=""278"" title=""60901.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/03d/kcir51gn2rcax8o1agcqtwkloysnquo2.jpeg;;;;;;;;;;;;;;;;;;;
;;Заглушка вешала черный;Трубы и штангодержатели;34;;;;;;;;;;;Россия;;;;;;;;;;;;;;;;;;;"<br><br><img width=""400"" alt=""Заглушка вешала.jpg"" src=""/upload/medialibrary/e9c/e9cc99ed143a11eab742440c6d7c30be.jpg"" height=""282"" title=""Заглушка вешала.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/f06/zvg78sold64xpqj8vrq4zdbn66c0tkml/e03fac06-aea7-11e9-3e9d-001517eeea50_5828d1f6-f7bc-11e9-138d-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
;;01А.02.038 Крепление Д50 хром;Трубы и штангодержатели;625;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;"<br><br><img width=""214"" alt=""01,01,001 50.jpg"" src=""/upload/medialibrary/543/543822165a3b7bc70b1afe41b7c35884.jpg"" height=""144"" title=""01,01,001 50.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/a8d/a8de3f7d7123cc77b8fe42fd95be8e55.png;;;;;;;;;;;;;;;;;;;
;;K-Y-466 Соединение для труб;Трубы и штангодержатели;550;;;;;;;;;;;КНР;;;;;;;;;;;;;;;;;;;<p>K-Y-466 Соединение для труб</p>;;;;;;;;;;;;https://artmebel.kz/upload/iblock/b8b/d14jfzxvgj30fy0k70yenwl0cx33z4xe.jpeg;;;;;;;;;;;;;;;;;;;
;;M-4003 Штангодержатель D25 прозрачный;Трубы и штангодержатели;105;;;;;;;;;;;Турция;;;;;;;;;;;;;;;;;;;"<br><br><img width=""800"" alt=""M-4003.jpg"" src=""/upload/medialibrary/b00/b0086a77c50baf0c0320f52f7e572812.jpg"" height=""416"" title=""M-4003.jpg""><br>";;;;;;;;;;;;https://artmebel.kz/upload/iblock/886/gipdv73ydp6qxik3pbnh62goww0vvrlt/bb2783be-afac-11e6-3396-001517eeea50_12889043-e3a3-11e6-0d9b-001517eeea50.jpeg;;;;;;;;;;;;;;;;;;;
